ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
2019,1,Eskişehir Teknik Üniversitesi,21,KARTAL,1
2019,1,İstanbul Üniversitesi-Cerrahpaşa,20,BEYOĞLU,2
2019,1,Zonguldak Bülent Ecevit Üniversitesi,21,ŞİŞLİ,1
2019,2,Abdullah Gül Üniversitesi,19,BAĞCILAR,1
2020,1,Zonguldak Bülent Ecevit Üniversitesi,23,BEYOĞLU,1
2020,1,Bursa Uludağ Üniversitesi,21,ZEYTİNBURNU,8
2019,2,İstanbul Üniversitesi-Cerrahpaşa,23,ÇEKMEKÖY,3
2020,1,İstanbul Aydın Üniversitesi,19,KARTAL,2
2020,1,Kütahya Dumlupınar Üniversitesi,23,GAZİOSMANPAŞA,1
2020,1,Sağlık Bilimleri Üniversitesi,20,ÜMRANİYE,22
2020,1,İstanbul Medipol Üniversitesi,19,ÜMRANİYE,6
2020,1,Çanakkale Onsekiz Mart Üniversitesi,24,BAYRAMPAŞA,1
2020,1,Karadeniz Teknik Üniversitesi,21,SULTANBEYLİ,7
2019,1,Sakarya Üniversitesi,21,ÇATALCA,3
2020,1,Balıkesir Üniversitesi,21,ÇEKMEKÖY,1
2020,1,Gümüşhane Üniversitesi,25,KAĞITHANE,1
2019,2,Trakya Üniversitesi,24,KAĞITHANE,1
2019,1,Sağlık Bilimleri Üniversitesi,21,ÜSKÜDAR,3
2020,1,İstanbul Aydın Üniversitesi,18,ZEYTİNBURNU,1
2020,1,Nişantaşı Üniversitesi,22,SULTANGAZİ,2
2019,1,Uşak Üniversitesi,22,KAĞITHANE,1
2020,1,Bursa Uludağ Üniversitesi,20,BAŞAKŞEHİR,4
2020,1,İstanbul Ticaret Üniversitesi,24,BAHÇELİEVLER,1
2020,1,Muğla Sıtkı Koçman Üniversitesi,21,BAŞAKŞEHİR,2
2020,1,Yeditepe Üniversitesi,19,KÜÇÜKÇEKMECE,1
2020,1,Yıldız Teknik Üniversitesi,20,ESENYURT,12
2019,2,İstanbul Üniversitesi-Cerrahpaşa,20,ŞİŞLİ,2
2019,2,Bartın Üniversitesi,22,KAĞITHANE,2
2020,1,Trabzon Üniversitesi,20,ESENLER,1
2019,1,Beykent Üniversitesi,21,BAĞCILAR,1
2019,1,İstanbul Okan Üniversitesi,24,FATİH,1
2020,1,Atatürk Üniversitesi,22,ARNAVUTKÖY,1
2019,1,Trakya Üniversitesi,19,SULTANBEYLİ,2
2020,1,Kocaeli Üniversitesi,20,BÜYÜKÇEKMECE,2
2020,1,İstanbul Üniversitesi-Cerrahpaşa,23,KAĞITHANE,6
2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,22,KARTAL,2
2020,1,Düzce Üniversitesi,22,MALTEPE,2
2020,1,İstanbul Gedik Üniversitesi,20,PENDİK,3
2020,1,Eskişehir Teknik Üniversitesi,20,ATAŞEHİR,1
2019,2,İstanbul Medeniyet Üniversitesi,22,SULTANGAZİ,2
2019,1,Bartın Üniversitesi,19,ESENLER,2
2019,1,Karabük Üniversitesi,21,SİLİVRİ,2
2019,1,Marmara Üniversitesi,21,SULTANGAZİ,6
2019,2,Kırklareli Üniversitesi,19,BAŞAKŞEHİR,4
2019,2,Tekirdağ Namık Kemal,23,ATAŞEHİR,1
2019,2,Akdeniz Üniversitesi,19,KÜÇÜKÇEKMECE,1
2019,2,Kırklareli Üniversitesi,20,SANCAKTEPE,4
2020,1,Afyon Kocatepe Üniversitesi,20,KÜÇÜKÇEKMECE,1
2020,1,Isparta Uygulamalı Bilimler Üniversitesi,21,PENDİK,2
2019,2,Bursa Uludağ Üniversitesi,21,MALTEPE,1
2019,1,Sağlık Bilimleri Üniversitesi,22,SULTANBEYLİ,3
2019,1,Sakarya Uygulamalı Bilimler Üniversitesi,22,MALTEPE,1
2019,2,Galatasaray Üniversitesi,22,ÜSKÜDAR,1
2019,2,Düzce Üniversitesi,20,GÜNGÖREN,3
2019,2,Kırklareli Üniversitesi,26,ÇEKMEKÖY,1
2020,1,Bilecik Şeyh Edebali Üniversitesi,23,BAŞAKŞEHİR,1
2019,2,Çanakkale Onsekiz Mart Üniversitesi,21,SULTANGAZİ,5
2019,2,İstanbul Ticaret Üniversitesi,22,PENDİK,1
2019,2,Gazi Üniversitesi,23,EYÜPSULTAN,1
2019,2,İstanbul Gelişim Üniversitesi,21,BAĞCILAR,1
2019,2,Gebze Teknik Üniversitesi,23,SULTANGAZİ,1
2020,1,Galatasaray Üniversitesi,24,FATİH,1
2020,1,Aydın Adnan Menderes,23,BAHÇELİEVLER,1
2019,1,Kastamonu Üniversitesi,21,SANCAKTEPE,1
2020,1,Ege Üniversitesi,18,ESENYURT,2
2020,1,Selçuk Üniversitesi,19,BEYKOZ,1
2019,2,İstanbul Bilgi Üniversitesi,20,BEYOĞLU,3
2019,1,Sivas Cumhuriyet Üniversitesi,25,PENDİK,1
2019,2,Selçuk Üniversitesi,23,SANCAKTEPE,1
2019,1,Zonguldak Bülent Ecevit Üniversitesi,20,BEYOĞLU,1
2019,2,Erciyes Üniversitesi,19,BAYRAMPAŞA,1
2019,1,İstanbul Üniversitesi,25,BAĞCILAR,2
2020,1,Tekirdağ Namık Kemal,20,BAYRAMPAŞA,7
2019,1,Balıkesir Üniversitesi,22,AVCILAR,1
2020,1,İstanbul Sabahattin Zaim Üniversitesi,21,KÜÇÜKÇEKMECE,4
2020,1,İstanbul Medeniyet Üniversitesi,22,ESENYURT,3
